Tag,Inorganic phosphor,Host,1st dopant,1st doping concentration,2nd dopant,2nd doping concentration ,Temp. (K),Emission max. (nm),CIE x coordinate,CIE y coordinate,Int. quantum efficiency (%),Ext. quantum efficiency (%),Thermal quenching temp. (K),Excitation source (nm),1st Excitation max. (nm),2nd Excitation max. (nm),3rd Excitation max. (nm),Decay time (ns),Monitoring energy (nm),Reference,MP-ID,ICSD-ID,Journal,Year
1,Ca2Y0.992Zr2Al3O12Bi0.008,Ca2Y0.992Zr2Al3O12,Bi3+,0.008,,,298,313,0.1948,0.15,,,,278,278,,,272,313,https://doi.org/10.1016/j.ceramint.2019.11.081,,,Ceramics International,2020
2,Ca8NaGd0.98P6O24F2Ce0.02,Ca8NaGd0.98P6O24F2,Ce3+,0.02,,,298,337,,,,,,303,303,,,25.22,337,https://doi.org/10.1016/j.materresbull.2012.11.114,,,Materials Research Bulletin,2013
3,Ca7.99NaGd0.98P6O24F2Ce0.02Mn0.01,Ca7.99NaGd0.98P6O24F2,Ce3+,0.02,Mn2+,0.01,298,337,0.38,0.44,,,,303,303,,,23.27,337,https://doi.org/10.1016/j.materresbull.2012.11.114,,,Materials Research Bulletin,2013
4,Ca7.96NaGd0.98P6O24F2Ce0.02Mn0.04,Ca7.96NaGd0.98P6O24F2,Ce3+,0.02,Mn2+,0.04,298,337,0.45,0.45,,,,303,303,,,22.07,337,https://doi.org/10.1016/j.materresbull.2012.11.114,,,Materials Research Bulletin,2013
5,Ca7.92NaGd0.98P6O24F2Ce0.02Mn0.07,Ca7.92NaGd0.98P6O24F2,Ce3+,0.02,Mn2+,0.07,298,337,0.48,0.49,,,,303,303,,,20.97,337,https://doi.org/10.1016/j.materresbull.2012.11.114,,,Materials Research Bulletin,2013
6,Ca7.9NaGd0.98P6O24F2Ce0.02Mn0.1,Ca7.9NaGd0.98P6O24F2,Ce3+,0.02,Mn2+,0.1,298,337,0.48,0.49,,,,303,303,,,19.45,337,https://doi.org/10.1016/j.materresbull.2012.11.114,,,Materials Research Bulletin,2013
7,Ca7.87NaGd0.98P6O24F2Ce0.02Mn0.13,Ca7.87NaGd0.98P6O24F2,Ce3+,0.02,Mn2+,0.13,298,337,0.48,0.5,,,,303,303,,,17.39,337,https://doi.org/10.1016/j.materresbull.2012.11.114,,,Materials Research Bulletin,2013
8,Ca7.84NaGd0.98P6O24F2Ce0.02Mn0.16,Ca7.84NaGd0.98P6O24F2,Ce3+,0.02,Mn2+,0.16,298,337,0.5,0.49,,,,303,303,,,15.2,337,https://doi.org/10.1016/j.materresbull.2012.11.114,,,Materials Research Bulletin,2013
9,K2CaP2O7Ce0.02,K2CaP2O7,Ce3+,0.02,,,298,358,0.1644,0.0187,,,,316,316,,,30.06,358,https://doi.org/10.1111/jace.14470,mp-555914, icsd-281572,Journal of the American Ceramic Society,2016
10,K2CaP2O7Ce0.02Tb0.01,K2CaP2O7,Ce3+,0.02,Tb3+,0.01,298,358,0.1771,0.0868,,,,316,,,,28.792,358,https://doi.org/10.1111/jace.14470,mp-555914, icsd-281572,Journal of the American Ceramic Society,2016
11,K2CaP2O7Ce0.02Tb0.04,K2CaP2O7,Ce3+,0.02,Tb3+,0.04,298,358,0.205,0.2714,,,,316,,,,25.283,358,https://doi.org/10.1111/jace.14470,mp-555914, icsd-281572,Journal of the American Ceramic Society,2016
12,K2CaP2O7Ce0.02Tb0.08,K2CaP2O7,Ce3+,0.02,Tb3+,0.08,298,358,0.2262,0.4109,,,,316,,,,22.266,358,https://doi.org/10.1111/jace.14470,mp-555914, icsd-281572,Journal of the American Ceramic Society,2016
13,K2CaP2O7Ce0.02Tb0.12,K2CaP2O7,Ce3+,0.02,Tb3+,0.12,298,358,0.2339,0.4629,,,,316,316,,,19.723,358,https://doi.org/10.1111/jace.14470,mp-555914, icsd-281572,Journal of the American Ceramic Society,2016
14,LiY8.995Si6O26Ce0.005,LiY8.995Si6O26,Ce3+,0.005,,,298,366,0.153,0.073,,,,305,,,,,,https://doi.org/10.1021/acs.inorgchem.6b01656,mp-1222506,,Inorganic Chemistry,2016
15,LiY8.985Si6O26Ce0.15,LiY8.985Si6O26,Ce3+,0.15,,,298,366,0.161,0.111,,,,305,,,,31.2,,https://doi.org/10.1021/acs.inorgchem.6b01656,mp-1222506,,Inorganic Chemistry,2016
16,LiY8.5Si6O26Ce0.5,LiY8.5Si6O26,Ce3+,0.5,,,298,366,0.165,0.138,,,,305,,,,,,https://doi.org/10.1021/acs.inorgchem.6b01656,mp-1222506,,Inorganic Chemistry,2016
17,LiY8.5Si6O26Ce0.5,LiY8.5Si6O26,Ce3+,0.5,,,350,366,0.178,0.19,,,,305,,,,,,https://doi.org/10.1021/acs.inorgchem.6b01656,mp-1222506,,Inorganic Chemistry,2016
18,LiY8.5Si6O26Ce0.5,LiY8.5Si6O26,Ce3+,0.5,,,400,366,0.175,0.167,,,,305,,,,,,https://doi.org/10.1021/acs.inorgchem.6b01656,mp-1222506,,Inorganic Chemistry,2016
19,LiY8.5Si6O26Ce0.5,LiY8.5Si6O26,Ce3+,0.5,,,450,366,0.171,0.14,,,,305,,,,,,https://doi.org/10.1021/acs.inorgchem.6b01656,mp-1222506,,Inorganic Chemistry,2016
20,LiY8.5Si6O26Ce0.5,LiY8.5Si6O26,Ce3+,0.5,,,475,366,0.17,0.123,,,,305,,,,,,https://doi.org/10.1021/acs.inorgchem.6b01656,mp-1222506,,Inorganic Chemistry,2016
21,Ca9Y0.85P7O28Ce0.15,Ca9Y0.85P7O28,Ce3+,0.15,,,298,366,0.15,0.11,,,,254,,,,52.7,366,https://doi.org/10.1021/am100043q,,,ACS Applied Materials &amp; Interfaces,2010
22,Ca8.991Y0.85P7O28Ce0.15Mn0.001,Ca8.991Y0.85P7O28,Ce3+,0.15,Mn2+,0.001,298,366,0.24,0.14,,,,254,,,,51.1,366,https://doi.org/10.1021/am100043q,,,ACS Applied Materials &amp; Interfaces,2010
23,Ca8.955Y0.85P7O28Ce0.15Mn0.005,Ca8.955Y0.85P7O28,Ce3+,0.15,Mn2+,0.005,298,366,0.28,0.16,,,,254,,,,48.3,366,https://doi.org/10.1021/am100043q,,,ACS Applied Materials &amp; Interfaces,2010
24,Ca8.91Y0.85P7O28Ce0.15Mn0.01,Ca8.91Y0.85P7O28,Ce3+,0.15,Mn2+,0.01,298,366,0.35,0.19,,,,254,,,,45.4,366,https://doi.org/10.1021/am100043q,,,ACS Applied Materials &amp; Interfaces,2010
25,Ca1.97PO4ClCe0.03,Ca1.97PO4Cl,Ce3+,0.03,,,298,367,,,,,,334,334,,,52.96,367,https://doi.org/10.1039/C4RA03087G,mp-554081, icsd-15316,RSC Advances,2014
26,Ca1.965PO4ClCe0.03Eu0.005,Ca1.965PO4Cl,Ce3+,0.03,Eu2+,0.005,298,367,,,,,,334,,,,43.69,367,https://doi.org/10.1039/C4RA03087G,mp-554081, icsd-15316,RSC Advances,2014
27,KNaCa2P2O8Na0.04Ce0.04,KNaCa2P2O8Na0.04,Ce3+,0.04,,,298,367,0.18,0.04,89,,,270,318,,,46.9,367,https://doi.org/10.1021/ic402305x,,,Inorganic Chemistry,2013
28,NaCaPO4Ce0.02,NaCaPO4,Ce3+,0.02,,,298,370,0.17,0.03,,,,328,275,,,,370,https://doi.org/10.1002/ejic.201000392,mp-14401, icsd-35629,European Journal of Inorganic Chemistry,2010
29,KSrGdP2O8Ce0.04,KSrGdP2O8,Ce3+,0.04,,,298,370,,,96,,,280,280,320,,63.27,370,https://doi.org/10.1039/C2DT31957H,,,Dalton Transactions,2012
30,KSrGdP2O8Ce0.04Tb0.03,KSrGdP2O8,Ce3+,0.04,Tb3+,0.03,298,370,,,90,,,280,,,,47.34,370,https://doi.org/10.1039/C2DT31957H,,,Dalton Transactions,2012
31,KSrGdP2O8Ce0.04Tb0.07,KSrGdP2O8,Ce3+,0.04,Tb3+,0.07,298,370,,,91,,,280,,,,,,https://doi.org/10.1039/C2DT31957H,,,Dalton Transactions,2012
32,KSrGdP2O8Ce0.04Mn0.03,KSrGdP2O8,Ce3+,0.04,Mn2+,0.03,298,370,,,74,,,280,,,,,,https://doi.org/10.1039/C2DT31957H,,,Dalton Transactions,2012
33,NaCa0.98PO4Ce0.02,NaCa0.98PO4,Ce3+,0.02,,,298,370,0.17,0.03,,,,328,,,,,,https://doi.org/10.1002/ejic.201000392,mp-14401, icsd-35629,European Journal of Inorganic Chemistry,2010
34,Ca9Bi0.92P7O28Ce0.08,Ca9Bi0.92P7O28,Ce3+,0.08,,,298,370,0.166,0.011,52,,,292,,,,36,370,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
35,Ca9Bi0.78P7O28Ce0.08Tb0.14,Ca9Bi0.78P7O28,Ce3+,0.08,Tb3+,0.14,298,370,0.205,0.201,55,,,292,,,,28.7,370,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
36,Ca9Bi0.62P7O28Ce0.08Tb0.3,Ca9Bi0.62P7O28,Ce3+,0.08,Tb3+,0.3,298,370,0.223,0.341,61,,,292,,,,26.6,370,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
37,Ca9Bi0.47P7O28Ce0.08Tb0.45,Ca9Bi0.47P7O28,Ce3+,0.08,Tb3+,0.45,298,370,0.24,0.395,65,,,292,,,,,,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
38,Ca9Bi0.32P7O28Ce0.08Tb0.6,Ca9Bi0.32P7O28,Ce3+,0.08,Tb3+,0.6,298,370,0.248,0.457,73,,,292,,,,22.1,370,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
39,Ca8.89Bi0.92P7O28Ce0.08Mn0.11,Ca8.89Bi0.92P7O28,Ce3+,0.08,Mn2+,0.11,298,370,0.288,0.096,47,,,292,,,,32.3,370,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
40,Ca8.8Bi0.92P7O28Ce0.08Mn0.2,Ca8.8Bi0.92P7O28,Ce3+,0.08,Mn2+,0.2,298,370,0.347,0.175,38,,,292,,,,27.7,370,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
41,Ca8.7Bi0.92P7O28Ce0.08Mn0.3,Ca8.7Bi0.92P7O28,Ce3+,0.08,Mn2+,0.3,298,370,0.438,0.219,31,,,292,,,,21.1,370,https://doi.org/10.1039/C5TC00927H,,,Journal of Materials Chemistry C,2015
