M_Shannon_radius_CN6,A_Shannon_radius_CN6,M_Atomic_electron_scattering_factor_at_0.5,"M_Atomic_environment_number_Villars,_Daams","M_Atomic_number_start_counting_left_top,_left-right_sequence",M_Atomic_weight,M_Boiling_temperature,M_Charge_nuclear_effective_Clementi,M_Compression_modulus,M_Conductivity_thermal,M_Density
0.62,0.76,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
0.535,0.933333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.535,0.89,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.8,0.89,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282
0.745,0.89,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880
0.535,0.97,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.62,0.97,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
0.535,1.02,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.62,1.02,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
0.745,1.38,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880
0.535,1.173333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.62,1.173333333,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
0.8,1.173333333,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282
0.535,1.26,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.62,1.26,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
0.8,1.26,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282
0.745,1.26,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880
0.8,1.38,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282
0.535,1.52,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.62,1.266666667,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
0.8,1.266666667,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282
0.535,1.353333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.62,1.353333333,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
0.8,1.353333333,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282
0.745,1.353333333,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880
0.535,1.473333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698
0.62,1.473333333,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907
