M_Shannon_radius_CN6,A_Shannon_radius_CN6,M_Atomic_electron_scattering_factor_at_0.5,"M_Atomic_environment_number_Villars,_Daams","M_Atomic_number_start_counting_left_top,_left-right_sequence",M_Atomic_weight,M_Boiling_temperature,M_Charge_nuclear_effective_Clementi,M_Compression_modulus,M_Conductivity_thermal,M_Density,M_Distance_from_core_electron_Schubert,M_Distance_from_valence_electron_Schubert,M_Electrochemical_weight_equivalent,M_Electronegativity_Alfred-Rochow,M_Electronegativity_Martynov&Batsanov,M_Electronegativity_Pauling,M_Electronegativity_absolute,M_Energy_cohesive_Brewer,M_Energy_of_ionization_first,M_Energy_of_ionization_second,M_Energy_of_ionization_third,M_Enthalpy_of_atomization,M_Enthalpy_of_melting,M_Enthalpy_of_vaporization,M_Entropy_of_solid,M_Group_number,M_Magnetic_frequency_of_nuclei,M_Magnetic_resonance,M_Mass_attenuation_coefficient_CrKα,M_Mass_attenuation_coefficient_FeKα,M_Mass_attenuation_coefficient_for_CuKα,M_Mass_attenuation_coefficient_for_MoKα,M_Melting_temperature,M_Mendeleev_H_d-t_start_left,M_Mendeleev_H_d-t_start_right,M_Mendeleev_H_t-d_start_left,M_Mendeleev_H_t-d_start_right,M_Mendeleev_Pettifor,M_Mendeleev_Pettifor_regular,M_Mendeleev_chemists_sequence,M_Mendeleev_d-t_start_left,M_Mendeleev_d-t_start_right,M_Mendeleev_t-d_start_left,M_Mendeleev_t-d_start_right,M_Molar_heat_capacity,M_Moment_nuclear_magnetic,M_Nuclear_charge_effective_Slater,M_Oxidation_state_first,"M_Periodic_number_start_counting_bottom_right,_right-left_sequence","M_Periodic_number_start_counting_left_bottom,_left-right_sequence","M_Periodic_number_start_counting_top_right,_right-left_sequence",M_Quantum_number,M_Radii_covalent,M_Radii_metal_Waber,M_Radii_pseudo-potential_Zunger,M_Spectral_lines_n_o,M_Spin_nuclei,M_Thermal_neutron_capture_cross_section,M_Valence_electron_number,"M_Volume_of_atom_Villars,_Daams",A_Atomic_electron_scattering_factor_at_0.5,"A_Atomic_environment_number_Villars,_Daams","A_Atomic_number_start_counting_left_top,_left-right_sequence",A_Atomic_weight,A_Boiling_temperature,A_Charge_nuclear_effective_Clementi,A_Compression_modulus,A_Conductivity_thermal,A_Density,A_Distance_from_core_electron_Schubert,A_Distance_from_valence_electron_Schubert,A_Electrochemical_weight_equivalent,A_Electronegativity_Alfred-Rochow,A_Electronegativity_Martynov&Batsanov,A_Electronegativity_Pauling,A_Electronegativity_absolute,A_Energy_cohesive_Brewer,A_Energy_of_ionization_first,A_Energy_of_ionization_second,A_Energy_of_ionization_third,A_Enthalpy_of_atomization,A_Enthalpy_of_melting,A_Enthalpy_of_vaporization,A_Entropy_of_solid,A_Group_number,A_Magnetic_frequency_of_nuclei,A_Magnetic_resonance,A_Mass_attenuation_coefficient_CrKα,A_Mass_attenuation_coefficient_FeKα,A_Mass_attenuation_coefficient_for_CuKα,A_Mass_attenuation_coefficient_for_MoKα,A_Melting_temperature,A_Mendeleev_H_d-t_start_left,A_Mendeleev_H_d-t_start_right,A_Mendeleev_H_t-d_start_left,A_Mendeleev_H_t-d_start_right,A_Mendeleev_Pettifor,A_Mendeleev_Pettifor_regular,A_Mendeleev_chemists_sequence,A_Mendeleev_d-t_start_left,A_Mendeleev_d-t_start_right,A_Mendeleev_t-d_start_left,A_Mendeleev_t-d_start_right,A_Molar_heat_capacity,A_Moment_nuclear_magnetic,A_Nuclear_charge_effective_Slater,A_Oxidation_state_first,"A_Periodic_number_start_counting_bottom_right,_right-left_sequence","A_Periodic_number_start_counting_left_bottom,_left-right_sequence","A_Periodic_number_start_counting_top_right,_right-left_sequence",A_Quantum_number,A_Radii_covalent,A_Radii_metal_Waber,A_Radii_pseudo-potential_Zunger,A_Spectral_lines_n_o,A_Spin_nuclei,A_Thermal_neutron_capture_cross_section,A_Valence_electron_number,"A_Volume_of_atom_Villars,_Daams",d(M-M),Average bond length (Å),Polyhedral volume (Å^3),Distortion index (bond length),Quadratic elongation,Bond angle variance (deg.^2),Effective coordination number,a,b,c,alpha,beta,gamma,space_group_number,cell_volume,Z,cell_volume/Z
0.62,0.76,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,0.08,14,3,6.941,1603,1.28,0.116,84.7,531,1.75,3.06,0.07192,0.97,0.9,1,3.01,1.63,520.2,7298,11815,159.4,2.93,135,28.2609,1,38.863,16.5465,1.96,1.25,0.716,0.22,453,6,103,1,98,12,12,8,6,102,2,98,24.77,3.256,1.3,1,101,94,10,2,1.23,1.562,1.61,29,1.5,0.045,1,2.162,4.758655,1.9016,9.12155,0.007495,1.00355,12.07405,5.9837,14.18644836,8.5229487,9.88124522,90,95.58781999,90,15,1189.067749,12,99.08897905
0.535,0.933333333,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,0.212,14,8.333333333,17.63966667,1303,2.1,0.084,122.2333333,824.3333333,1.296666667,3.506666667,0.182846667,0.996666667,0.893333333,0.933333333,2.903333333,1.283333333,503.9333333,5474,8546.333333,124.6666667,2.736666667,112.3333333,43.50085333,1,30.58833333,13.02356667,64.18666667,39.48333333,20.30533333,2.213333333,398.3333333,5.333333333,102.3333333,1.666666667,98.66666667,11.33333333,11.33333333,7.333333333,5.333333333,101.3333333,2.666666667,98.66666667,27.08333333,2.562666667,1.9,1,95.66666667,88.66666667,15.33333333,2.666666667,1.436666667,1.794666667,2.303333333,65,1.5,0.368333333,1,3.338,5.379,1.8338,8.2218,0.00086,1.0001,0.2124,5.9998,5.332413,5.44491,9.27834599,90,125.1907547,90,14,220.1575316,2,110.0787658
0.535,0.89,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,0.179,14,7,14.965,1378,1.895,0.092,112.85,751,1.41,3.395,0.155115,0.99,0.895,0.95,2.93,1.37,508,5930,9363.5,133.35,2.785,118,39.690865,1,32.657,13.9043,48.63,29.925,15.408,1.715,412,5.5,102.5,1.5,98.5,11.5,11.5,7.5,5.5,101.5,2.5,98.5,26.505,2.736,1.75,1,97,90,14,2.5,1.385,1.7365,2.13,56,1.5,0.2875,1,3.044,5.19064,1.8096,7.884,0,1.0014,5.2837,6,11.98728004,11.98728004,11.98728004,90,90,90,230,1722.5108,8,215.31385
0.8,0.89,2.2,12,49,114.818,2273,8.47,0.411,81.6,7282,1.49,2.3,0.39641,1.49,1.63,1.7,3.1,2.52,558.3,1821,2705,243.3,3.26,225,57.123,3,21.914,9.331,638,432,243,29.3,430,73,29,75,31,79,77,77,74,28,76,30,26.74,5.507,5,3,55,62,42,5,1.5,1.663,2.05,56,4.5,194,3,2.617,0.179,14,7,14.965,1378,1.895,0.092,112.85,751,1.41,3.395,0.155115,0.99,0.895,0.95,2.93,1.37,508,5930,9363.5,133.35,2.785,118,39.690865,1,32.657,13.9043,48.63,29.925,15.408,1.715,412,5.5,102.5,1.5,98.5,11.5,11.5,7.5,5.5,101.5,2.5,98.5,26.505,2.736,1.75,1,97,90,14,2.5,1.385,1.7365,2.13,56,1.5,0.2875,1,3.044,5.58411,2.1087,12.4073,0,1.0051,18.9811,6,12.895952,12.895952,12.895952,90,90,90,230,2144.668751,8,268.0835939
0.745,0.89,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880,1.1,2.21,0.15579,1.2,1.5,1.3,3.34,3.9,631,1235,2389,377.8,15.77,305,34.6,3,24.29,10.3434,513,336,184,21.1,1812,16,91,13,88,19,35,25,17,90,14,87,25.52,4.749,3,3,83,70,34,4,1.44,1.941,2.75,93,3.5,27.2,3,2.5,0.179,14,7,14.965,1378,1.895,0.092,112.85,751,1.41,3.395,0.155115,0.99,0.895,0.95,2.93,1.37,508,5930,9363.5,133.35,2.785,118,39.690865,1,32.657,13.9043,48.63,29.925,15.408,1.715,412,5.5,102.5,1.5,98.5,11.5,11.5,7.5,5.5,101.5,2.5,98.5,26.505,2.736,1.75,1,97,90,14,2.5,1.385,1.7365,2.13,56,1.5,0.2875,1,3.044,5.53096,2.037,11.2112,0,1.0035,12.9556,6,12.773202,12.773202,12.773202,90,90,90,230,2084.007804,8,260.5009755
0.535,0.97,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,0.94,13,20.5,47.2805,1628,3.675,0.116,66.85,1535.5,1.57,2.99,0.26298,0.98,1.015,1,2.505,1.675,534.85,4181,8011,161.9,5.565,136,40.29795,1.5,21.598,9.1958,187.48,118.625,62.858,47.61,748,7.5,98.5,5.5,96.5,13.5,14,9.5,8,97.5,6.5,96,25.585,2.1725,2.075,1.5,83.5,72.5,31.5,3.5,1.575,1.8565,2.41,60.5,3,0.6225,1.5,3.897,5.89209,1.8069,7.8225,0,1.0036,13.0376,6,5.04037579,5.04037579,10.24660224,90,90,120,163,225.4427863,2,112.7213931
0.62,0.97,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,0.94,13,20.5,47.2805,1628,3.675,0.116,66.85,1535.5,1.57,2.99,0.26298,0.98,1.015,1,2.505,1.675,534.85,4181,8011,161.9,5.565,136,40.29795,1.5,21.598,9.1958,187.48,118.625,62.858,47.61,748,7.5,98.5,5.5,96.5,13.5,14,9.5,8,97.5,6.5,96,25.585,2.1725,2.075,1.5,83.5,72.5,31.5,3.5,1.575,1.8565,2.41,60.5,3,0.6225,1.5,3.897,6.0431,1.9247,9.4525,0,1.0038,13.6248,6,5.2319006,5.2319006,10.468016,90,90,120,163,248.1498278,2,124.0749139
0.535,1.02,0.3,12,13,26.982,2740,4.07,0.722,237,2698,1.25,2.01,0.09316,1.47,1.64,1.5,3.23,3.39,577.6,1817,2745,326.4,10.5,284,28.34464,3,26.057,11.094,152,93.9,48.6,5.16,933,75,31,73,29,80,79,75,76,30,74,28,24.2,3.639,3.5,3,91,88,16,3,1.25,1.432,1.675,116,2.5,0.233,3,1.66,0.278,14,11,22.989,1153,2.51,0.068,141,971,1.07,3.73,0.23831,1.01,0.89,0.9,2.85,1.11,495.8,4562,6912,107.3,2.64,101,51.12083,1,26.451,11.2621,95.3,58.6,30.1,3.21,371,5,102,2,99,11,11,7,5,101,3,99,28.24,2.216,2.2,1,93,86,18,3,1.54,1.911,2.65,83,1.5,0.53,1,3.926,5.51027,1.8077,7.8755,0.0013,1.0001,0.2523,5.9995,5.4306,5.6069,7.7944,90,90.155,90,14,237.329501,2,118.6647505
0.62,1.02,1.53,4,31,69.723,2473,6.22,0.569,40.6,5907,1.38,2,0.24083,1.82,1.7,1.6,3.2,2.81,578.8,1979,2963,277,5.59,254,41.11438,3,30.495,10.2188,212,131,55.9,60.1,303,74,30,74,30,81,78,76,75,29,75,29,25.86,2.011,5,3,73,80,24,4,1.25,1.411,1.695,55,1.5,2.9,3,1.947,0.278,14,11,22.989,1153,2.51,0.068,141,971,1.07,3.73,0.23831,1.01,0.89,0.9,2.85,1.11,495.8,4562,6912,107.3,2.64,101,51.12083,1,26.451,11.2621,95.3,58.6,30.1,3.21,371,5,102,2,99,11,11,7,5,101,3,99,28.24,2.216,2.2,1,93,86,18,3,1.54,1.911,2.65,83,1.5,0.53,1,3.926,5.476,1.8902,9,0.00228,1.0003,1.0034,5.9988,5.476,5.6862,7.9009,90,90.309,90,14,246.0117327,2,123.0058663
0.745,1.38,1.12,12,21,44.956,3003,4.63,0.435,15.8,2880,1.1,2.21,0.15579,1.2,1.5,1.3,3.34,3.9,631,1235,2389,377.8,15.77,305,34.6,3,24.29,10.3434,513,336,184,21.1,1812,16,91,13,88,19,35,25,17,90,14,87,25.52,4.749,3,3,83,70,34,4,1.44,1.941,2.75,93,3.5,27.2,3,2.5,0.43,14,19,39.098,1032,3.5,0.032,102,862,1.32,4.6,0.40514,0.91,0.8,0.8,2.42,0.93,418.8,3051,4411,89.2,2.39,76.9,64.43485,1,4.667,1.9864,417,266,143,15.8,337,4,101,3,100,10,10,6,4,100,4,100,29.58,0.391,2.2,1,85,68,36,4,2.03,2.376,3.69,87,1.5,2.1,1,7.572,6.33091,2.0106,10.8377,0,1,0,6,8.95326562,8.95326562,8.95326562,90,90,90,225,717.7024143,4,179.4256036
